UPE | 
07/27/2025 02:33:20 PM
,Intel® Xeon® 6952P Processor (480M Cache- 2.10 GHz)

Essentials
Product Collection,Intel® Xeon® 6 processors
Code Name,Products formerly Granite Rapids
Vertical Segment,Server
Processor Number,6952P
Lithography,Intel 3
Recommended Customer Price,$9115.00

CPU Specifications
Total Cores,96
Total Threads,192
Max Turbo Frequency,3.9 GHz
All Core Turbo Frequency,3.2 GHz
Processor Base Frequency,2.1 GHz
Cache,480 MB
Intel® UPI Speed,24 GT/s
Max # of UPI Links,6
TDP,400 W

Intel® Speed Select Technology - Performance Profile (Intel® SST-PP)
,ConfigActive CoresBase FrequencyTDPDescription6952P(0)962.10400Server Mode6952P(1)962.50400Compute Mode

Supplemental Information
Marketing Status,Launched
Launch Date,Q3'24
Embedded Options Available,No

Memory Specifications
Max Memory Size (dependent on memory type),3 TB
Memory Types,DDR5(6400MT/s)MRDIMM(8800MT/s)
Maximum Memory Speed,8800 MT/s
Max # of Memory Channels,12
ECC Memory Supported   ‡,Yes

Expansion Options
Scalability,2S
PCI Express Revision,5.0
Max # of PCI Express Lanes,96

Package Specifications
Sockets Supported,FCLGA7529
Package Carrier,BR1A
DTS Max,86 °C
TCASE,72 °C
Package Size,104.5mm x 70.5mm

Advanced Technologies
Intel® QuickAssist Technology (QAT),4 default devices
Intel® Dynamic Load Balancer (DLB),4 default devices
Intel® Data Streaming Accelerator (DSA),4 default devices
Intel® In-memory Analytics Accelerator (IAA),4 default devices
Intel® Advanced Matrix Extensions (AMX),Yes
Intel® Speed Select Technology – Core Power,Yes
Intel® Speed Select Technology – Turbo Frequency,Yes
Intel® Deep Learning Boost (Intel® DL Boost) on CPU,Yes
Intel® Speed Select Technology - Performance Profile,Yes
Intel® Speed Select Technology - Base Frequency,Yes
High Priority Cores,36
High Priority Core Frequency,2.3 GHz
Low Priority Cores,60
Low Priority Core Frequency,1.9 GHz
Intel® Resource Director Technology (Intel® RDT),Yes
Intel® Speed Shift Technology,Yes
Intel® Turbo Boost Technology ‡,2.0
Intel® Hyper-Threading Technology ‡,Yes
Intel® Transactional Synchronization Extensions,Yes
Intel® 64 ‡,Yes
Instruction Set Extensions,Intel® AMX |  Intel® SSE4.2 |  Intel® AVX |  Intel® AVX2 |  Intel® AVX-512
# of AVX-512 FMA Units,2
Intel® Volume Management Device (VMD),Yes

Security & Reliability
Intel® Trust Domain Extensions (Intel® TDX),Yes
Intel® Secure Key,Yes
Intel® Crypto Acceleration,Yes
Intel® QuickAssist Software Acceleration,Yes
Intel® Platform Firmware Resilience Support,Yes
Intel® Control-Flow Enforcement Technology,Yes
Intel® Total Memory Encryption - Multi Key,Yes
Intel® Total Memory Encryption,Yes
Intel® AES New Instructions,Yes
Intel® Secure Key,Yes
Intel® Software Guard Extensions (Intel® SGX),Yes
Default Maximum Enclave Page Cache (EPC) Size for Intel® SGX,512 GB
Intel® OS Guard,Yes
Intel® Trusted Execution Technology ‡,Yes
Execute Disable Bit ‡,Yes
Intel® Boot Guard,Yes
Intel® Run Sure Technology,Yes
Mode-based Execute Control (MBEC),Yes
Intel® Virtualization Technology (VT-x) ‡,Yes
Intel® Virtualization Technology for Directed I/O (VT-d) ‡,Yes
Intel® VT-x with Extended Page Tables (EPT) ‡,Yes
