UPE | 
07/27/2025 02:22:58 PM
,Intel® Core™ 3 Processor 201EF (12M Cache- up to 4.80 GHz)

Essentials
Product Collection,Intel® Core™ processors (Series 2)
Code Name,Products formerly Bartlett Lake
Vertical Segment,Embedded
Processor Number,201EF

CPU Specifications
Total Cores,4
# of Performance-cores,4.
# of Efficient-cores,0
Total Threads,8
Max Turbo Frequency,4.8 GHz
Intel® Thermal Velocity Boost Frequency,4.8 GHz
Performance-core Max Turbo Frequency,4.8 GHz
All Core Turbo Frequency,4.7 GHz
Performance-core Base Frequency,3.6 GHz
Cache,12 MB
Bus Speed,0.000 GT/s
TDP,58 W

Supplemental Information
Marketing Status,Launched
Launch Date,Q1'25
Embedded Options Available,No
Use Conditions,PC/Client/Tablet
Product Tuning (Embedded Uses),Yes

Memory Specifications
Max Memory Size (dependent on memory type),192 GB
Memory Types,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s
Max # of Memory Channels,2
ECC Memory Supported   ‡,Yes

Expansion Options
Direct Media Interface (DMI) Revision,4
Max # of DMI Lanes,8
Scalability,1S Only
PCI Express Revision,5.0 and 4.0
PCI Express Configurations ‡,Up to 1x16+4 |    2x8+4
Max # of PCI Express Lanes,20

Package Specifications
Sockets Supported,FCLGA1700
Max CPU Configuration,1.
Package Size,45.0 mm x 37.5 mm

Advanced Technologies
Intel® Gaussian & Neural Accelerator,3.0
Intel® Thread Director,Yes
Intel® Deep Learning Boost (Intel® DL Boost) on CPU,Yes
Intel® Speed Shift Technology,Yes
Intel® Adaptive Boost Technology,No
Intel® Thermal Velocity Boost,No
Intel® Turbo Boost Max Technology 3.0 ‡,Yes
Intel® Turbo Boost Technology ‡,2.0
Intel® Hyper-Threading Technology ‡,Yes
Intel® 64 ‡,Yes
Instruction Set,64-bit
Instruction Set Extensions,Intel® SSE4.2 |  Intel® SSE4.1 |  Intel® AVX2
Idle States,Yes
Enhanced Intel SpeedStep® Technology,Yes
Thermal Monitoring Technologies,Yes
Intel® Volume Management Device (VMD),Yes

Security & Reliability
Intel® Threat Detection Technology (TDT),Yes
Intel® Active Management Technology (AMT) ‡,Yes
Intel® Standard Manageability (ISM) ‡,Yes
Intel® Remote Platform Erase (RPE) ‡,Yes
Intel® One-Click Recovery ‡,Yes
Intel® Hardware Shield Eligibility ‡,Yes
Intel® Trusted Execution Technology ‡,No
